nome;valor;categoria;tipo;quartos;banheiros;area;detalhes;logradouro
. Apartamento à venda no Villa Astúrias venda;R$ 310.007;Apartamentos;Venda - apartamento padrão;3;2;72m²;Academia, Armários embutidos, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Rua Josefina Ribeiro de Carvalho
Desconto Apartamento no Viamonte Condomínio Clube ..;R$ 150.010;Apartamentos;Venda - apartamento padrão;2;1;60m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Rua Antônio José dos Santos
Desconto Condomínio Alamedas do Sol Oferta ;R$ 947.017;Casas;Venda - casa em condominio fechado;3;4;260m²;Piscina, Varanda, Área de serviço, Churrasqueira, Quarto de serviço, Porteiro 24h;Rua Arlindo Santos (Cond Alameda do Sol)
´´ Apartamento à venda na Hermes Fontes  ...;R$ 220.023;Apartamentos;Venda - apartamento padrão;3;1;74m²;Não definido;Não definido
Desconto  Rio de Janeiro na Av. Augusto Franco venda;R$ 345.037;Apartamentos;Venda - apartamento padrão;3;2;82m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Desconto Triumph Localizado avenida Rio de janeiro  ..;R$ 360.006;Apartamentos;Venda - apartamento padrão;3;2;82m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Avenida Augusto Franco - de 2685 ao fim - lado ímpar
Inovador Oportunidade única  Singulare ..;R$ 1.000.038;Apartamentos;Venda - apartamento duplex/triplex;3;3;177m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Rua Joventina Alves - de 701/702 ao fim
$$ Apartamento à venda no condomínio Caminho do Sol #;R$ 155.013;Apartamentos;Venda - apartamento padrão;3;1;65m²;Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Inovador Apartamento à venda no condomínio Reserva Alto Verde ...;R$ 140.021;Apartamentos;Venda - apartamento padrão;3;2;63m²;Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Estrada da Cabrita
Desconto Casa à venda no condomínio Morada do Rio |  $$;R$ 1.500.008;Apartamentos;Venda - apartamento padrão;4;4;1047m²;Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Inovador Apartamento à venda no condomínio Barra Club II Ligue ;R$ 180.024;Apartamentos;Venda - apartamento padrão;3;1;68m²;Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
. Apartamento à venda no Edifício Cal  ..;R$ 190.032;Apartamentos;Venda - apartamento padrão;3;2;126m²;10;Não definido
$$ Casa à venda no condomínio Melício Machado $$;R$ 900.027;Casas;Venda - casa em condominio fechado;3;2;360m²;Piscina, Varanda, Área de serviço, Churrasqueira, Porteiro 24h;Não definido
$$ Apartamento à venda no Residencial Clube do Parque  ...;R$ 700.033;Apartamentos;Venda - apartamento padrão;3;4;120m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Inovador Apartamento à venda no Edifício Mediterranee ..;R$ 320.007;Apartamentos;Venda - apartamento padrão;3;2;121m²;Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
. Horto São Braz - Aptos 02 quartos  ...;R$ 135.017;Apartamentos;Venda - apartamento padrão;2;1;45m²;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
. Apartamento à venda no Condomínio Clube Atalaia $$;R$ 490.035;Apartamentos;Venda - apartamento padrão;3;2;98m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Inovador Urbanus Luzia venda;R$ 310.021;Apartamentos;Venda - apartamento padrão;2;2;60m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Inovador Villa dos Pássaros (Marivan)  ..;R$ 126.010;Apartamentos;Venda - apartamento padrão;2;1;43m²;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Desconto Condomínio Horto São Braz - Marcos Freire II venda;R$ 135.030;Apartamentos;Venda - apartamento padrão;2;1;45m²;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
´´ Apartamento no Poesia Art Home #;R$ 241.025;Apartamentos;Venda - apartamento padrão;2;2;60m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Desconto Poesia Art Home | Preço de lançamento! Oferta ;R$ 297.034;Apartamentos;Venda - apartamento padrão;2;2;60m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Desconto Poesia Art Home  Na antiga Rio de Janeiro $$;R$ 249.001;Apartamentos;Venda - apartamento padrão;2;2;60m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Inovador Condomínio Villa dos Pássaros Aracaju SE Ligue ;R$ 130.013;Apartamentos;Venda - apartamento padrão;2;1;43m²;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Rua Poeta Vinícius de Moraes
$$ Prestige Residence Localizado jabutiana  Oferta ;R$ 240.026;Apartamentos;Venda - apartamento padrão;2;2;60m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Rua Fátima Maria Chagas
. Apê no Condomínio Prestige Residence 2-4 ou 3-4-  1 suíte ...;R$ 310.011;Apartamentos;Venda - apartamento padrão;3;2;68m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Rua Fátima Maria Chagas
Inovador Apartamento no condomínio Athos Residence Oferta ;R$ 214.024;Apartamentos;Venda - apartamento padrão;2;2;68m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Rua Luiz Carlos Prestes
.  Athos Residence. Oferta ;R$ 214.029;Apartamentos;Venda - apartamento padrão;2;2;68m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Rua Luiz Carlos Prestes
$$  Le Vert Boulevard Oferta ;R$ 240.039;Apartamentos;Venda - apartamento padrão;2;2;68m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Rua Alziro Zarur
.  Apartamento no condomínio Le Vert Boulevard Ligue ;R$ 240.018;Apartamentos;Venda - apartamento padrão;2;2;78m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Rua Alziro Zarur
Inovador Cond. Belo Jardim - Nossa Senhora do Socorro/SE 100 Reais Entrada  ..;R$ 111.002;Apartamentos;Venda - apartamento padrão;2;1;48m²;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Inovador  Le Vert Boulevard - Condições Especiais venda;R$ 245.040;Apartamentos;Venda - apartamento padrão;2;2;78m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Rua Alziro Zarur
Inovador  Simular financiamento Horto São Braz venda;R$ 135.020;Apartamentos;Venda - apartamento padrão;2;1;48m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Desconto Apartamento no condomínio Horto São Braz $$;R$ 135.014;Apartamentos;Venda - apartamento padrão;2;1;48m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Inovador Localizado na Atalaia, com vista total para o Mar. medindo 132m² Oferta ;R$ 960.022;Apartamentos;Venda - apartamento padrão;3;3;132m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
. 3 ou 4 quartos, na Atalaia, de frente para o mar. venda;R$ 960.018;Apartamentos;Venda - apartamento padrão;3;3;132m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
´´ SKY Apto de 3/4, Sendo 02 Suíte ...;R$ 1.190.008;Apartamentos;Venda - apartamento padrão;3;4;132m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Rua Niceu Dantas
Desconto Jaime Gusmão Residence - 2 ou 3/4, pertinho do Parque da Sementeira ...;R$ 755.009;Apartamentos;Venda - apartamento padrão;3;2;91m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Avenida Oviêdo Teixeira
Desconto Jardins $$;R$ 570.001;Apartamentos;Venda - apartamento padrão;2;3;91m²;Academia, Varanda, Área de serviço, Churrasqueira, Quarto de serviço, Piscina, Salão de festas, 10;Não definido
.  Jaime Gusmão Residence   Ligue ;R$ 759.039;Apartamentos;Venda - apartamento padrão;3;2;91m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Avenida Oviêdo Teixeira
´´  Jaime Gusmão Residence Ligue ;R$ 755.032;Apartamentos;Venda - apartamento padrão;3;2;91m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Avenida Oviêdo Teixeira
Desconto Apto 2-4 Av. Rio de janeiro  Lançamento  Oferta ;R$ 199.002;Apartamentos;Venda - apartamento padrão;2;2;58m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Não definido
´´ Triumph Rio de Janeiro 3-4  pronto pra morar bem localizado  ...;R$ 360.039;Apartamentos;Venda - apartamento padrão;3;3;82m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Avenida Augusto Franco - de 2685 ao fim - lado ímpar
Inovador Apto elevador  Na Planta Oportunidade * Oferta ;R$ 116.006;Apartamentos;Venda - apartamento padrão;2;1;45m²;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Desconto Localizado Marcos Freire 2-4  Elevador * ...;R$ 116.015;Apartamentos;Venda - apartamento padrão;2;1;45m²;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
